"Date","LWSA3.SA.Open","LWSA3.SA.High","LWSA3.SA.Low","LWSA3.SA.Close","LWSA3.SA.Volume","LWSA3.SA.Adjusted"
2021-03-01,29.2800006866455,29.8099994659424,28.0799999237061,29.1599998474121,6000200,28.4129772186279
2021-03-02,29,29.5,26.5,27.7299995422363,11479400,27.0196113586426
2021-03-03,27.7299995422363,28.2000007629395,25.2199993133545,26.2099990844727,16107300,25.5385494232178
2021-03-04,26.4699993133545,28.1000003814697,25.5599994659424,25.8700008392334,12592800,25.2072620391846
2021-03-05,26,26.25,24.6000003814697,25.7900009155273,11938200,25.1293106079102
2021-03-08,25.0200004577637,25.3799991607666,22.75,23.0699996948242,15312800,22.4789905548096
2021-03-09,23.6700000762939,24.6700000762939,22.6000003814697,22.8999996185303,12512000,22.313346862793
2021-03-10,23.0699996948242,24.2399997711182,22.3199996948242,23.5499992370605,10949100,22.9466934204102
2021-03-11,23.8999996185303,25.5,23.0699996948242,24.2299995422363,16720100,23.6092739105225
2021-03-12,23.8600006103516,24.2000007629395,22.4200000762939,22.6700000762939,13890500,22.0892391204834
2021-03-15,22.7000007629395,24.0400009155273,22.4599990844727,23.7000007629395,8225300,23.0928535461426
2021-03-16,23.75,26.1200008392334,23.75,25.2000007629395,13796300,24.5544242858887
2021-03-17,25,25.6800003051758,24.2999992370605,25.4300003051758,10658500,24.7785320281982
2021-03-18,25.4400005340576,25.4400005340576,23.5300006866455,23.8600006103516,9712000,23.2487545013428
2021-03-19,24.1100006103516,24.9300003051758,23.7600002288818,24.1700000762939,11339700,23.5508117675781
2021-03-22,24.2199993133545,25.2999992370605,23.8500003814697,24.8099994659424,5612800,24.1744136810303
2021-03-23,24.7999992370605,25.4500007629395,23.9099998474121,24.7399997711182,8578000,24.1062088012695
2021-03-24,24.9500007629395,25.0200004577637,23.1700000762939,24.1000003814697,6012200,23.4826049804688
